Ticker,Rel Volume,ROE %,Change %,Debt/Eq,"Avg Volume, M",RSI,Price,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
MSTR,1.89,18.01,-6.99,0.16,11.64,32.58,300.7,5.380778184236781,-1.4361970386603402,-4.057490289615426,2.309152094844394,2.655845760837452,2.119036407781652,0.1,0.05053469353743971,0.13545935330541792
KVUE,2.55,13.56,-4.09,0.81,23.87,24.53,16.17,4.823747680890538,-2.0961452366116693,-2.1747617606274177,4.0052509570946135,2.107915323119236,2.0850761081406795,0.1,0.056370273596720796,0.13328844193715114
SNY,2.41,8.39,-2.87,0.32,2.51,33.99,45.07,1.9747060128688705,-1.320603627590604,-1.382717344984187,3.645472410556689,-0.6945822759506699,1.7447150501075817,0.1,0.1376994726107635,0.11153086918276081
ACN,2.35,25.82,-2.73,0.26,4.41,32.36,232.56,2.7691778465772274,-1.454232890032923,-1.2918270022054554,3.491281604897578,0.08691047351915049,1.650686235911033,0.1,0.09819375699160743,0.10552007941229444
CTVA,1.72,5.75,-3.63,0.14,4.17,30.24,67.08,2.3703041144901613,-1.6280329123505404,-1.8761220629258717,1.8722781454769137,-0.3054469598778378,1.6314545664299107,0.1,0.1147177591563328,0.1042906953859843
DHR,1.89,6.68,-2.39,0.35,3.93,30.11,181.46,2.5294830816708913,-1.6386904608888848,-1.071093312599965,2.309152094844394,-0.14886845898978743,1.425141585588955,0.1,0.10749863420858641,0.09110214286248815
NTR,3.55,5.43,-1.49,0.54,2.28,54.68,58.15,2.304385210662081,0.37558621285821664,-0.48679825187954867,6.575097718079793,-0.3702889633434432,1.3909726536077693,0.1,0.11799935847323977,0.08891789467670372
DECK,0.96,43.58,-4.85,0.13,3.23,34.08,105.83,3.259945195124256,-1.3132253247563659,-2.6681664785691024,-0.08080539287182341,0.5696602807411666,1.3203600245154326,0.1,0.08341121100441772,0.08440398399686944
KDP,1.33,6.18,-1.9,0.71,15.46,25.16,25.75,2.7184466019417477,-2.0444971167720003,-0.7529771128744049,0.8700379086926937,0.037008012321563415,1.149422760882624,0.1,0.10002623422476693,0.07347682337685053
MRK,1.13,35.44,-2.6,0.72,13.11,30.26,77.6,2.0360824742268044,-1.6263932894984872,-1.2074288267680622,0.3560685564956571,-0.6342085062281455,1.1264723026152383,0.1,0.13354860619612485,0.07200971586347958
