Ticker,RSI,ROE %,Change %,Rel Volume,Debt/Eq,Price,"Avg Volume, M",ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
NVO,26.24,61.25,-16.43,4.61,0.67,39.63,21.32,6.459752712591471,-1.7907517292660107,-5.350019358352329,7.250521254293071,1.921948594681766,3.757179272056857,0.1,0.07768347301367155,0.21923874475595864
ACN,24.24,25.35,-6.58,2.11,0.27,201.18,4.74,5.209265334526295,-1.9314034673354084,-1.8710385880573301,2.183931841610541,1.0803243820223296,1.6596086495073337,0.1,0.09633143894545426,0.09684140435091101
APO,27.66,16.78,-5.0,2.62,0.57,113.73,3.6,4.7656730853776486,-1.690888995236738,-1.3129888807409749,3.2175160817977777,0.7817704070040391,1.616683432251351,0.1,0.1052980379756421,0.09433663413151541
WDAY,17.32,7.34,-6.24,1.73,0.43,129.21,3.81,5.889637024998065,-2.4180584810555246,-1.750951942179127,1.413810250882797,1.5382396703757866,1.5880917312711087,0.1,0.0852032176844983,0.09266825256666279
CTSH,21.71,15.16,-6.0,1.84,0.08,61.13,5.68,4.727629641747097,-2.1093279159931964,-1.6661848980298073,1.6367401850408285,0.7561657636833226,1.5731609455478845,0.1,0.10614537591784472,0.09179701207395459
INTU,18.43,21.99,-5.52,1.89,0.36,359.55,2.88,6.179947156167431,-2.3399967664270087,-1.4966508097311677,1.7380719732944787,1.7336291160097916,1.5170781347132785,0.1,0.08120069845949919,0.08852447058486196
DASH,30.59,10.48,-6.6,1.99,0.33,164.66,5.19,5.781610591521924,-1.4848341989650704,-1.8781025084031064,1.94073554980178,1.4655338889216485,1.418621568647053,0.1,0.08679519617932198,0.08277933776198111
ADP,20.55,73.84,-4.08,1.56,0.7,205.73,2.76,2.8338113060807855,-2.190905924073447,-0.9880485448352493,1.069282170820385,-0.5184439554018143,1.3783348938223021,0.1,0.17708166540474857,0.08042853164403546
TOST,29.44,18.64,-7.39,1.47,0.01,25.07,9.97,5.863581970482648,-1.565708948354974,-2.157127362061284,0.8868849519638139,1.5207036559169553,1.3282993334467574,0.1,0.08558182149575803,0.07750885902381204
PANW,25.17,16.26,-3.07,2.33,0.04,144.14,8.93,5.085333703343972,-1.8660004091331381,-0.6313205673735286,2.629791709926604,0.9969138147930888,1.300329302283345,0.1,0.09867907492356129,0.07587675310630693
