Ticker,Rel Volume,Change %,"Avg Volume, M",RSI,Price,ATR/Price %,ROE %,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ALAB,3.02,-21.41,5.42,42.38,143.71,11.001322107021085,18.82,0.02,-0.8254813621122347,-6.470683019869248,2.7198299829024486,4.775047245666838,2.6201188057073246,0.1,0.04032624862767718,0.14873294931227884
SHOP,6.03,-6.7,8.82,35.57,118.71,7.665740038749895,15.74,0.09,-1.255215016818814,-2.057560455354239,7.294498964414124,2.655336810177164,2.352837527125677,0.1,0.05787334924981899,0.1335605331711438
PANW,6.17,-0.13,7.08,36.97,165.3,3.932244404113732,15.33,0.04,-1.1668703594635703,-0.08650571375915986,7.507274265879782,0.2827585028189065,1.9118606285220212,0.1,0.11282158607862114,0.10852815885092765
ICE,2.65,-7.78,3.44,30.78,151.99,3.4739127574182507,11.72,0.7,-1.5574799516271127,-2.3815694539726078,2.157495257600349,-0.008504117776459569,1.811016755257618,0.1,0.12770673344445196,0.10280368305310622
TPG,2.73,-6.42,2.28,26.48,49.67,5.979464465472116,14.28,1.45,-1.8288242563610764,-1.9735581223791059,2.2790811441521543,1.5837349557995155,1.6282765658095428,0.1,0.07419427828071647,0.09243030331349573
INTU,2.4,-5.15,2.53,18.99,399.69,5.909579924441442,21.99,0.36,-2.3014681732116316,-1.5925475406704683,1.7775393621259576,1.539324418786735,1.564480930405253,0.1,0.07507167280808467,0.08880889767865874
DOCU,1.94,-6.89,3.4,23.5,44.34,5.8412268831754615,15.22,0.08,-2.016872169874381,-2.1145620384445074,1.0784205144530772,1.4958871260134077,1.5120973632008856,0.1,0.07595014872624103,0.08583530639385431
ADP,1.87,-3.53,2.45,16.44,217.57,2.6428275957163216,73.84,0.7,-2.46238165625154,-1.1065340427429142,0.9720328637202479,-0.53664578959965,1.4971916463520736,0.1,0.16786643640318405,0.08498917253774504
CTSH,2.09,-4.91,4.89,27.07,70.91,3.7794387251445496,15.16,0.08,-1.7915932936185093,-1.5205455409774973,1.306394051737712,0.18565287457065952,1.4019621149990789,0.1,0.117383051501629,0.07958339894117968
PAYX,1.67,-4.23,3.42,24.34,94.84,2.94179671024884,40.88,1.3,-1.9638653754612347,-1.3165398751807464,0.6680681473407344,-0.3466555753003679,1.3164210247228771,0.1,0.1508064948795755,0.07472759674760977
