Ticker,Debt/Eq,ATR/Price %,RSI,Change %,Price,"Avg Volume, M",Rel Volume,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ZM,0.0,6.0762509928514685,30.15,-11.58,75.54,3.29,5.08,20.28,-2.2143430536226396,-4.402790355556092,7.7270394252375105,1.8038526301231512,3.6810193152477426,0.1,0.07921140009339996,0.20225201671605583
TTD,0.18,6.179540709812108,26.28,-4.81,23.95,13.79,3.83,16.32,-2.572310110720814,-1.9441032113600756,5.304829958725171,1.8768499950765878,2.4540256549656867,0.1,0.07788739828162906,0.1348353798997508
PSTG,0.15,7.153682934222491,42.76,-10.3,65.98,4.22,2.42,13.68,-1.047943934757528,-3.93792779358107,2.5725776804992506,2.565300090248549,2.0030406319935046,0.1,0.06728119667704956,0.1100562025596499
A,0.49,3.2652723815822107,31.33,-3.01,120.97,2.08,2.93,19.95,-2.1051954754893463,-1.2903902335827007,3.5608391428362856,-0.18273458882836652,1.91889628562531,0.1,0.14740220484437966,0.10543292778417476
TCOM,0.19,3.539315094700593,29.54,-2.59,52.27,3.47,1.89,19.95,-2.2707668016406983,-1.1378572054346465,1.5455608666980185,0.010938087706854444,1.5010367670452887,0.1,0.13598912094131946,0.08247381697844361
FSLR,0.07,7.386306846576711,33.7,-4.77,200.1,2.35,2.12,17.45,-1.8859753397470527,-1.929576256298356,1.9912474085362895,2.7297010889799926,1.4607224314251517,0.1,0.06516224663557615,0.08025876321657768
NVDA,0.07,3.385796960354806,47.36,-5.46,184.89,168.85,2.12,101.49,-0.6224533759328239,-2.1801662311130166,1.9912474085362895,-0.09755692621675356,1.3889220367949773,0.1,0.14215511269531028,0.07631372153890748
SNPS,0.36,4.671361502347417,42.49,-5.16,426.0,2.18,1.8,5.55,-1.072918380601586,-2.071214068150121,1.3711617851091302,0.8109829246455807,1.2935804216203655,0.1,0.10303384745984934,0.0710752176641367
APO,0.57,4.746503496503496,31.81,-2.4,114.4,3.81,1.78,16.78,-2.060796460655464,-1.0688541688914792,1.3324064336449328,0.864087606623076,1.2754502464081088,0.1,0.10140271650852704,0.07007906301618219
NVO,0.67,5.980861244019139,24.12,-1.42,37.62,22.55,1.55,61.25,-2.772105677473284,-0.7129437698793528,0.8867198918066623,1.7364383655358675,1.2234674483811683,0.1,0.08047475586295949,0.06722289062612112
