Ticker,ROE %,Rel Volume,Price,Change %,ATR/Price %,"Avg Volume, M",Debt/Eq,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
EQNR,18.28,1.55,25.15,-5.06,2.862823061630219,4.08,0.65,48.03,-0.7093146413648981,-2.900939780302088,1.55904955082389,0.11523199034359034,1.563875758713864,0.1,0.08907092295977288,0.11494233229117427
CHWY,76.24,3.32,43.39,0.07,3.6874855957593917,6.84,1.43,53.47,-0.1787414377136202,-0.5265278002394086,6.548781972482199,0.8728198941411317,1.4693186383658867,0.1,0.0691512646620694,0.10799253727902308
TAP,7.9,1.11,48.22,0.35,2.2189962671090835,2.55,0.49,19.65,-3.477268229530941,-0.3969302652652273,0.3186640900726722,-0.4762286029098879,1.4673251514841819,0.1,0.1149142502624098,0.10784601922584763
EBAY,36.48,1.61,74.35,-3.27,2.0981842636180232,5.68,1.45,46.05,-0.9024276823997386,-2.072441253145715,1.7281930227445108,-0.5872142590910832,1.4455641578989191,0.1,0.12153093357502578,0.10624662148486569
BIRK,9.35,1.22,50.42,-3.3,3.3518445061483533,2.06,0.5,38.65,-1.624163290307727,-2.08632670332152,0.6287604552604764,0.5644784587256603,1.3679757429497654,0.1,0.07607581196030586,0.10054399880314736
ZM,12.19,1.58,76.45,-1.06,1.97514715500327,2.29,0.01,37.68,-1.7187691740470172,-1.0495464235280692,1.6436212867842004,-0.7002440395735816,1.3676591204654784,0.1,0.12910141491179386,0.10052072756398595
OXY,9.43,1.57,42.48,-3.34,3.4133709981167613,13.0,0.75,45.68,-0.9385144627951377,-2.10484063688926,1.6154307081307637,0.6210006410115132,1.3261603624145406,0.1,0.07470453475775497,0.09747063614145199
BF-B,23.14,1.15,26.29,-0.72,3.689615823507037,4.1,0.7,27.07,-2.7535819848448226,-0.8921779882022774,0.4314264046864188,0.8747768579986619,1.2748235857039025,0.1,0.06911133965366353,0.09369746630071939
ROST,39.57,1.31,128.33,0.36,2.571495363515935,3.44,0.9,30.35,-2.4336775532315515,-0.39230178187329223,0.8824756631414076,-0.15240032105470125,1.180827932020447,0.1,0.09916187133282622,0.08678893817793858
PAYX,44.25,2.1,152.25,0.66,1.6223316912972088,2.04,0.21,45.66,-0.9404650995732677,-0.25344728011524076,3.109531376762913,-1.0243629567239576,1.1422119039159564,0.1,0.15717765592437768,0.08395072273184585
