Ticker,ROE %,Price,RSI,Rel Volume,Change %,Debt/Eq,"Avg Volume, M",ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ANET,33.64,139.39,54.06,1.89,-8.92,0.0,9.46,3.981634263577014,0.01749997843139614,-5.861080894594684,2.6181298446999386,1.479465113917536,2.4209327782053847,0.1,0.08725746024326145,0.15238465709707297
SNPS,6.61,425.45,27.25,3.11,-2.89,0.55,2.13,7.232342225878481,-2.15959070937822,-1.6342179790780151,5.708343847137952,4.9298845543601635,1.9765133549512561,0.1,0.04803800520032476,0.12441085211184676
PFE,12.16,23.87,39.43,1.99,-3.98,0.7,40.81,1.9689987431922913,-1.1705207885456528,-2.3982777764102154,2.8714260744079727,-0.6568192913860463,1.8890466417547531,0.1,0.17644871265585632,0.1189052944120012
LULU,42.42,159.87,26.61,1.76,-3.57,0.4,4.52,4.8789641583786825,-2.2115615426567783,-2.110879137046727,2.288844746079495,2.431923639697244,1.7274308231424012,0.1,0.07120923257053227,0.10873245057163554
CHWY,34.48,34.66,35.65,1.74,-3.78,1.36,7.66,4.933641084824005,-1.4774735225971392,-2.2580833181841236,2.2381855001378885,2.4899597143426653,1.5060860228667527,0.1,0.07042005842824142,0.0947999895822692
ADBE,52.87,349.36,46.06,3.38,-0.34,0.56,4.17,2.9825967483398212,-0.6321354375505854,0.15326136330465606,6.392243667349644,0.41905042755321636,1.4041496167006826,0.1,0.11648483612498554,0.0883836427761264
ACN,27.27,238.54,30.9,1.37,-2.3,0.27,4.13,2.6033369665464914,-1.8631945508364407,-1.2206443273110439,1.3009894502181634,0.016490327029373836,1.3378924646923147,0.1,0.13345459996988615,0.08421311252434953
CNM,24.42,48.67,21.95,1.58,-1.58,1.34,2.3,4.869529484281899,-2.5899741724662824,-0.7159442776971134,1.8329115326050345,2.4219093341074136,1.2814628306674538,0.1,0.07134719988424372,0.08066117150871913
AVTR,11.73,12.31,42.19,0.49,-5.38,0.67,12.75,4.061738424045491,-0.9463965700318693,-3.3796389839928582,-0.9280173712125348,1.5644905778306604,1.1720599118830815,0.1,0.08553659964918206,0.0737748480161958
CMG,42.59,38.63,22.9,1.27,-0.85,1.35,17.48,2.485115195443955,-2.512829966818422,-0.2042345051718781,1.0476932205101293,-0.1089945525803435,1.1714106645566653,0.1,0.13980329527348628,0.0737339813997834
